ImageName,Color,Evolution,Mood,Size,Background,Prompt
amethyst_1_idle,amethyst,1-seed,idle,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A tiny glowing lavender-purple orb of light with a cute chibi face — big sparkly eyes, rosy cheeks, gentle smile. No body, just a round magical ball of soft purple light. Tiny translucent wing buds on either side. A small rough amethyst crystal chip floats below. Minimal detail, very simple and cute, soft glow aura around the orb."
amethyst_1_happy,amethyst,1-seed,happy,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A tiny glowing lavender-purple orb of light with a cute chibi face — eyes closed happily (^^), big blush on cheeks, joyful smile. No body, just a round magical ball of soft purple light. Tiny translucent wing buds on either side. A small rough amethyst crystal chip floats below. Extra sparkles, soft glow aura."
amethyst_1_excited,amethyst,1-seed,excited,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A tiny glowing lavender-purple orb of light with a cute chibi face — starry eyes wide open, open mouth smile, lots of sparkles bursting around. No body, just a round magical ball of soft purple light. Tiny translucent wing buds on either side. A small rough amethyst crystal chip floats below. Bright glow aura."
amethyst_1_thinking,amethyst,1-seed,thinking,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A tiny glowing lavender-purple orb of light with a cute chibi face — curious expression, slightly tilted, one tiny sparkle near head like a thought. No body, just a round magical ball of soft purple light. Tiny translucent wing buds on either side. A small rough amethyst crystal chip floats below. Soft glow aura."
amethyst_1_sleeping,amethyst,1-seed,sleeping,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A tiny glowing lavender-purple orb of light with a cute chibi face — eyes closed peacefully (curved lines), serene sleeping expression. No body, just a round magical ball of soft purple light. Tiny translucent wing buds drooping softly. A small rough amethyst crystal chip floats below. Dim gentle glow aura, tiny zzz particles."
amethyst_2_idle,amethyst,2-bud,idle,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A small chibi fairy girl with short lavender-purple hair, big expressive eyes with sparkle highlights, rosy cheeks, gentle smile. She has a tiny seedling sprout on her head. Simple translucent round fairy wings. A simple purple dress with soft edges. She holds a small tumbled amethyst stone. Floating pose, soft sparkles around her."
amethyst_2_happy,amethyst,2-bud,happy,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A small chibi fairy girl with short lavender-purple hair, eyes closed happily (^^), big blush, joyful smile. She has a tiny seedling sprout on her head. Simple translucent round fairy wings. A simple purple dress with soft edges. She holds a small tumbled amethyst stone. Bouncy pose, extra sparkles."
amethyst_2_excited,amethyst,2-bud,excited,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A small chibi fairy girl with short lavender-purple hair, starry eyes wide open, open mouth smile, arms raised up. She has a tiny seedling sprout on her head. Simple translucent round fairy wings. A simple purple dress with soft edges. She holds a small tumbled amethyst stone up high. Lots of sparkles bursting around."
amethyst_2_thinking,amethyst,2-bud,thinking,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A small chibi fairy girl with short lavender-purple hair, curious expression, head tilted to one side, one finger on chin. She has a tiny seedling sprout on her head. Simple translucent round fairy wings. A simple purple dress with soft edges. She holds a small tumbled amethyst stone. Thoughtful pose, soft sparkles."
amethyst_2_sleeping,amethyst,2-bud,sleeping,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A small chibi fairy girl with short lavender-purple hair, eyes closed peacefully, serene sleeping expression. She has a tiny seedling sprout on her head. Simple translucent round fairy wings drooping. A simple purple dress with soft edges. She cradles a small tumbled amethyst stone. Curled up floating pose, tiny zzz particles, dim glow."
